Variable_Name	a0	a1	a2	a3	MSE	DOF	T-Value	95%_CI	Std. Error	Repeat Err.	Meas. Err.	K-Multiplier	Threshold	
ID_Xitron_Amps	1.84E+000	6.72E-003	-4.20E-003	1.14E-003	3.31E-006	1.70E+001	2.11E+000	3.84E-003	0.001819	1	0.8	2	2.561	Threshold ONLY GOOD FOR TEMPERATURE VARIABLES
ID_Xitron_Watts	1.85E+002	4.15E+000	-8.72E-001	4.11E-001	1.25E-001	1.70E+001	2.11E+000	7.46E-001	0.353611	1	0.8	2	2.657	
OD_Xitron_Amps	3.56E+000	-7.12E-002	-2.72E-002	1.63E-001	3.54E-004	1.70E+001	2.11E+000	3.97E-002	0.018824	1	0.8	2	2.562	
OD_Xitron_Watts	1.35E+003	-2.32E+001	-2.55E+000	3.62E+001	1.52E+001	1.70E+001	2.11E+000	8.23E+000	3.902083	1	0.8	2	8.214	
1500_ODLiqSV_TempF	1.42E+002	-1.45E+000	3.45E-001	6.99E-001	7.68E-003	1.70E+001	2.11E+000	1.85E-001	0.087610	1	0.8	2	2.567	
1510_ODVapSV_TempF	1.77E+002	3.53E-001	-1.11E+000	-4.56E-001	5.97E-002	1.70E+001	2.11E+000	5.15E-001	0.244299	1	0.8	2	2.607	
1526_Coriolis_IDSide_TempF	1.75E+002	-1.32E+000	-8.82E-002	5.89E-001	1.30E-002	1.70E+001	2.11E+000	2.41E-001	0.114082	1	0.8	2	2.571	
1527_Coriolis_ODSide_TempF	1.65E+002	-1.57E+000	2.36E-001	6.54E-001	1.14E-002	1.70E+001	2.11E+000	2.25E-001	0.106551	1	0.8	2	2.570	
1600_IDVap_TempF	1.46E+002	6.43E-001	-1.02E+000	-4.85E-001	1.12E-001	1.70E+001	2.11E+000	7.07E-001	0.335300	1	0.8	2	2.648	
1601_IDLiq_TempF	1.79E+002	-1.19E+000	-2.33E-001	5.44E-001	1.56E-002	1.70E+001	2.11E+000	2.64E-001	0.125092	1	0.8	2	2.573	
1602_ID2phase_Cool#1_TempF	2.59E+001	2.40E-002	5.73E-001	-4.74E-002	1.70E-003	1.70E+001	2.11E+000	8.70E-002	0.041221	1	0.8	2	2.563	
1603_ID2Phase_Cool#2_TempF	2.61E+001	-4.92E-002	6.19E-001	-1.93E-002	1.58E-003	1.70E+001	2.11E+000	8.38E-002	0.039709	1	0.8	2	2.562	
1608_CompSuct_TempF	1.52E+002	5.44E-001	-1.15E+000	-2.95E-001	5.02E-002	1.70E+001	2.11E+000	4.73E-001	0.223958	1	0.8	2	2.600	
1612_OD2PhaseHeat_F	1.20E+002	-1.47E+000	7.31E-001	7.28E-001	4.09E-003	1.70E+001	2.11E+000	1.35E-001	0.063944	1	0.8	2	2.564	
1617_CompDisch_TempF	3.39E+002	1.13E+000	-4.12E+000	4.32E-001	1.79E-001	1.70E+001	2.11E+000	8.93E-001	0.423177	1	0.8	2	2.697	
1618_ID2Phase_Heat#2_F	-1.23E+002	3.37E+000	-8.69E-001	-3.03E-001	1.31E-001	1.70E+001	2.11E+000	7.63E-001	0.361853	1	0.8	2	2.662	
1622_OD2PhaseCool_F	1.16E+002	-7.04E-001	-7.16E-002	7.25E-001	3.86E-003	1.70E+001	2.11E+000	1.31E-001	0.062131	1	0.8	2	2.564	
1630_ID2Phase_Heat#1_F	1.08E+002	-1.54E+000	9.73E-001	1.42E-001	9.99E-002	1.70E+001	2.11E+000	6.67E-001	0.316046	1	0.8	2	2.638	
1701_ODVapSV_psia	5.82E+001	5.81E-001	1.27E+000	-7.35E-002	2.29E-002	1.70E+001	2.11E+000	3.19E-001	0.151247	1	0.8	2	2.579	
1702_ODLiqSV_psia	4.10E+002	-3.86E+000	-1.93E+000	4.93E+000	2.24E-001	1.70E+001	2.11E+000	9.99E-001	0.473553	1	0.8	2	2.731	
1707_IDVap_psia	5.10E+001	5.82E-001	1.35E+000	-5.94E-002	2.04E-002	1.70E+001	2.11E+000	3.01E-001	0.142709	1	0.8	2	2.577	
1710_ODSuctPort_psia	4.71E+001	4.47E-001	1.44E+000	-8.37E-003	1.22E-002	1.70E+001	2.11E+000	2.33E-001	0.110605	1	0.8	2	2.571	
1712_RotoMass_Massflow_lb/min	9.84E+000	-3.30E-014	-3.28E-015	1.77E-014	0.00E+000	1.70E+001	2.11E+000	0.00E+000	0.000000	1	0.8	2	2.561	
1713_RotoMass_Density_lbm/ft3	7.00E+001	-1.97E-003	5.82E-004	-1.47E-004	5.18E-008	1.70E+001	2.11E+000	4.80E-004	0.000228	1	0.8	2	2.561	
1724_IDLiq_psia	4.12E+002	-4.07E+000	-1.84E+000	4.95E+000	2.13E-001	1.70E+001	2.11E+000	9.73E-001	0.461012	1	0.8	2	2.722	
2219_NozTemp#1_F	5.83E+001	8.92E-002	2.09E-001	-6.15E-002	1.03E-003	1.70E+001	2.11E+000	6.76E-002	0.032052	1	0.8	2	2.562	
2220_NozTemp#2_F	5.01E+001	1.34E-001	2.43E-001	-4.40E-002	8.09E-004	1.70E+001	2.11E+000	6.00E-002	0.028449	1	0.8	2	2.562	
Exit TC Grid AVG Temp (F)	5.66E+001	3.06E-001	-5.35E-003	-8.45E-002	1.44E-003	1.70E+001	2.11E+000	8.00E-002	0.037938	1	0.8	2	2.562	
TC Grid  DT Temp (F)	-5.84E+001	6.94E-001	5.35E-003	8.45E-002	1.44E-003	1.70E+001	2.11E+000	8.00E-002	0.037938	1	0.8	2	2.562	
AVG Nozzle Temp (F)	5.42E+001	1.12E-001	2.26E-001	-5.27E-002	8.59E-004	1.70E+001	2.11E+000	6.18E-002	0.029305	1	0.8	2	2.562	
AVG Noz DP (in H2O)	2.20E-001	-3.27E-003	1.25E-002	2.28E-003	2.02E-005	1.70E+001	2.11E+000	9.48E-003	0.004492	1	0.8	2	2.561	
Unit ESP (in H2O)	1.24E+000	-2.29E-002	1.54E-002	-1.08E-003	3.18E-005	1.70E+001	2.11E+000	1.19E-002	0.005637	1	0.8	2	2.561	
Indoor Unit SCFM	7.77E+002	-1.84E+000	6.65E+000	1.37E+000	6.50E+000	1.70E+001	2.11E+000	5.38E+000	2.548628	1	0.8	2	5.705	
Indoor Unit CFM	7.33E+002	-1.84E+000	7.72E+000	1.27E+000	6.94E+000	1.70E+001	2.11E+000	5.56E+000	2.635074	1	0.8	2	5.860	
Sensible Capacity (Btu/h)	-9.16E+004	9.57E+002	1.49E+002	1.31E+002	1.25E+003	1.70E+001	2.11E+000	7.45E+001	35.295396	1	0.8	2	70.637	
Latent Capacity (Btu/h)	-8.96E+004	5.93E+001	1.57E+003	-7.53E+001	9.11E+003	1.70E+001	2.11E+000	2.01E+002	95.421753	1	0.8	2	190.861	
TOTAL Capacity (Btu/h)	-1.81E+005	1.02E+003	1.72E+003	5.60E+001	9.26E+003	1.70E+001	2.11E+000	2.03E+002	96.233612	1	0.8	2	192.484	
SHR	1.74E-002	1.38E-002	-1.53E-002	3.02E-003	1.90E-006	1.70E+001	2.11E+000	2.91E-003	0.001379	1	0.8	2	2.561	
ODVapSV_Suph_F	1.59E+002	1.58E-001	-1.53E+000	-4.31E-001	6.53E-002	1.70E+001	2.11E+000	5.39E-001	0.255552	1	0.8	2	2.612	
ODVapSV_Tsat_F	1.77E+001	1.95E-001	4.23E-001	-2.48E-002	2.58E-003	1.70E+001	2.11E+000	1.07E-001	0.050762	1	0.8	2	2.563	
ODLiqSV_Tsat_F	1.22E+002	-6.16E-001	-3.59E-001	7.72E-001	5.56E-003	1.70E+001	2.11E+000	1.57E-001	0.074583	1	0.8	2	2.566	
ODLiqSV_Tsub_F	-2.00E+001	8.29E-001	-7.04E-001	7.31E-002	4.40E-003	1.70E+001	2.11E+000	1.40E-001	0.066309	1	0.8	2	2.565	
1612_OD2phase_Heating_F	1.20E+002	-1.47E+000	7.31E-001	7.28E-001	4.09E-003	1.70E+001	2.11E+000	1.35E-001	0.063944	1	0.8	2	2.564	
1622_OD2phase_Cooling_F	1.16E+002	-7.04E-001	-7.16E-002	7.25E-001	3.86E-003	1.70E+001	2.11E+000	1.31E-001	0.062131	1	0.8	2	2.564	
1710_CompSuct_psia	4.71E+001	4.47E-001	1.44E+000	-8.37E-003	1.22E-002	1.70E+001	2.11E+000	2.33E-001	0.110605	1	0.8	2	2.571	
CompSuct_TempF	1.52E+002	5.44E-001	-1.15E+000	-2.95E-001	5.02E-002	1.70E+001	2.11E+000	4.73E-001	0.223958	1	0.8	2	2.600	
CompSuct_Suph_F	1.39E+002	3.92E-001	-1.63E+000	-2.92E-001	4.94E-002	1.70E+001	2.11E+000	4.69E-001	0.222331	1	0.8	2	2.600	
CompSuct_Tsat_F	1.35E+001	1.52E-001	4.86E-001	-2.95E-003	1.41E-003	1.70E+001	2.11E+000	7.91E-002	0.037503	1	0.8	2	2.562	
CompDisch_psia	4.10E+002	-3.86E+000	-1.93E+000	4.93E+000	2.24E-001	1.70E+001	2.11E+000	9.99E-001	0.473553	1	0.8	2	2.731	
1617_CompDisch_TempF	3.39E+002	1.13E+000	-4.12E+000	4.32E-001	1.79E-001	1.70E+001	2.11E+000	8.93E-001	0.423177	1	0.8	2	2.697	
CompDisch_Suph_F	2.17E+002	1.75E+000	-3.76E+000	-3.38E-001	1.44E-001	1.70E+001	2.11E+000	8.01E-001	0.379847	1	0.8	2	2.672	
CompDisch_Tsat_F	1.22E+002	-6.15E-001	-3.59E-001	7.70E-001	5.53E-003	1.70E+001	2.11E+000	1.57E-001	0.074388	1	0.8	2	2.566	
Refrig-Side Capacity_Btu/h	5.52E+004	4.73E+002	-3.54E+002	-2.88E+002	2.42E+003	1.70E+001	2.11E+000	1.04E+002	49.230641	1	0.8	2	98.495	
IDLiq@TXV_Tsat_F	1.22E+002	-6.56E-001	-3.50E-001	7.83E-001	5.39E-003	1.70E+001	2.11E+000	1.55E-001	0.073385	1	0.8	2	2.565	
IDLiq@TXV_Tsub_F	-5.68E+001	5.38E-001	-1.17E-001	2.39E-001	4.67E-003	1.70E+001	2.11E+000	1.44E-001	0.068317	1	0.8	2	2.565	
IDVap_Suph_F	1.30E+002	4.48E-001	-1.47E+000	-4.65E-001	1.33E-001	1.70E+001	2.11E+000	7.70E-001	0.365142	1	0.8	2	2.663	
IDVap_Tsat_F	1.55E+001	1.95E-001	4.51E-001	-2.00E-002	2.28E-003	1.70E+001	2.11E+000	1.01E-001	0.047746	1	0.8	2	2.563	
CoriolisLiq_ID#1_Tsub_F	-5.28E+001	6.67E-001	-2.62E-001	1.95E-001	4.23E-003	1.70E+001	2.11E+000	1.37E-001	0.065040	1	0.8	2	2.565	
CoriolisLiq_OD#2_Tsub_F	-4.29E+001	9.49E-001	-5.95E-001	1.18E-001	4.62E-003	1.70E+001	2.11E+000	1.43E-001	0.067971	1	0.8	2	2.565	
Blower_Heat_Btu/h	6.30E+002	1.42E+001	-2.97E+000	1.40E+000	1.46E+000	1.70E+001	2.11E+000	2.55E+000	1.206519	1	0.8	2	3.519	
Adj_RefSide_Q_Btu/h	5.46E+004	4.59E+002	-3.51E+002	-2.89E+002	2.39E+003	1.70E+001	2.11E+000	1.03E+002	48.907781	1	0.8	2	97.849	
COP	-1.28E+001	8.83E-002	1.42E-001	-2.01E-002	5.24E-005	1.70E+001	2.11E+000	1.53E-002	0.007239	1	0.8	2	2.561	
SCFM/TON	2.82E+003	-1.38E+001	-1.68E+001	-1.83E-001	9.70E-001	1.70E+001	2.11E+000	2.08E+000	0.984706	1	0.8	2	3.231	
ODAir_DT(F)	1.21E+002	-4.55E-001	-3.96E-001	-3.20E-001	1.91E-002	1.70E+001	2.11E+000	2.92E-001	0.138356	1	0.8	2	2.576	
LiqLine_DP(psid)	-2.04E+000	2.09E-001	-9.03E-002	-1.97E-002	8.09E-004	1.70E+001	2.11E+000	6.00E-002	0.028437	1	0.8	2	2.562	
